city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,postal_code,lat,lon
malaga,https://www.pisos.com/comprar/casa-sayalonga_centro_urbano-34173011512_108900/,399.000,Piso en venta en Parque de la Paloma,Parque de la Paloma (Distrito Benalmádena Costa. Benalmádena),182.0,140.0,2.0,2.0,,,En buen estado,,,,,,True,False,,True,True,,,https://fotos.imghs.net/l/1067/071/1067_IFC76250-0520317071_1_2023042110185231250.jpg,29630.0,36.59306145,-4.57241989
malaga,https://www.pisos.com/comprar/piso-cabopino_reserva_de_marbella-32533648344_100200/,111.000,Piso en venta en Ciudad Jardín,Ciudad Jardín (Distrito Ciudad Jardín. Málaga Capital),14.0,,,1.0,4ª,,En buen estado,,,,,,False,False,,False,False,,,https://fotos.imghs.net/l/1002/522/1002_548522_1_2023060618060094123.jpeg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/piso-huelin_la_princesa_jardin_de_la_abadia29002-34187876245_100200/,825.000,Casa adosada en venta en The Golden Mile,Lomas de Marbella Club-Puente Romano (Distrito Milla de Oro. Marbella),165.0,,3.0,3.0,,,En buen estado,"Privado,garaje,en sotano","Sur,vistas a los jardines,vistas a la piscina",,,,False,False,,True,True,Comunitaria,Adosada,https://fotos.imghs.net/l/1093/083/1093_EP200-R4187083_1_2023042920420931250.jpg,29601.0,36.50963847,-4.88406637
malaga,https://www.pisos.com/comprar/piso-la_luz_virgen_de_belen29004-34206893250_100200/,865.000,Chalet en venta en Puerto de La Duquesa,Urbanización El Hacho-La Duquesa Golf (Manilva),450.0,380.0,6.0,6.0,,,,1,Sur,,,,False,True,,True,True,Propia,,https://fotos.imghs.net/l/1005/516/1005_189240698516_1_2023060109064888706.jpg,29691.0,36.37770216,-5.2505015
malaga,https://www.pisos.com/comprar/piso-santa_paula_la_paz_los_guindos_parque_mediterraneo-33420495006_100200/,249.000,Piso en venta en Los Llanos,Los Llanos (Torrox),103.0,,2.0,2.0,,,En buen estado,,,,,,True,False,,True,True,,,https://fotos.imghs.net/l/1067/353/1067_IFC75936-0520232353_1_2023031410172431250.jpg,29770.0,36.75862084,-3.95292767
malaga,https://www.pisos.com/comprar/casa-zona_del_castillo_de_sohail-34214727146_103200/,140.000,Finca rústica en venta en Calle Arenas,Arenas de Vélez (Arenas),,105.0,3.0,1.0,,,En buen estado,,Sureste,,,,False,False,,True,False,,,https://fotos.imghs.net/l/512042/31717891181.512042/512042_31717891181_1_20230206153251351.jpg,29717.0,36.81604305,-4.0441519
malaga,https://www.pisos.com/comprar/piso-los_boliches-34248031781_524878/,199.000,Finca rústica en venta en Centro,Centro (Alhaurín el Grande),102.0,,1.0,1.0,,,,,,,,,False,False,,False,False,,,https://fotos.imghs.net/l/1093/004/1093_EP769-04cb07969202effd56ec3a0981c51aa4_1_2023053016494831250.jpg,29120.0,36.64510025,-4.68702469
malaga,https://www.pisos.com/comprar/piso-los_boliches-34178098560_521280/,610.000,Chalet en venta en Puerto de La Torre,El Atabal-El Chaparral-Los Morales (Distrito Puerto de la Torre. Málaga Capital),,,,,,,,,,,,,False,False,,False,False,,,https://fotos.imghs.net/l/1005/162/1005_135449721162_1_2021111613113018149.jpg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/piso-los_monteros_bahia_de_marbella29603-26751781876_993874/,230.500,Piso en venta en Calle Estornino,Las Lagunas (Mijas),101.0,101.0,3.0,2.0,4ª,,En buen estado,,Sur,,,,False,False,,True,False,,,https://fotos.imghs.net/l/993874/33385171316.993874/993874_33385171316_1_20230411185826650.jpg,29647.0,36.59339039,-4.63902803
malaga,https://www.pisos.com/comprar/casa-los_naranjos_las_brisas29660-32502516315_105300/,2.400.000,Chalet en venta en San Pedro Alcántara,San Pedro-Pueblo (Distrito San Pedro de Alcántara. Marbella),300.0,,4.0,5.0,,,,1,Oeste,,,Independiente,False,True,A/a frio - calor,False,True,,,https://fotos.imghs.net/l/1021/551/1021_174551_1_2022061719162731250.jpg,29601.0,36.50963847,-4.88406637
