city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,latitude,longitude
0,https://www.pisos.com/comprar/piso-martiricos_la_roca29009-30884764864_999251/,85.0,"Casa rústica en venta en Calle de Santa Fe, nº 3",Yunquera,170.0,150.0,3.0,2.0,,,En buen estado,,Sur,,,,0,0,,1,0,,Rústica,https://fotos.imghs.net/l/521365/6693580388.521365/521365_6693580388_1_20200824165704226.jpg,36.731273,-4.415433
0,https://www.pisos.com/comprar/piso-el_mauli_fuentemora_altos_de_santa_ana29200-28368903734_109300/,232.0,Apartamento en venta en Riviera del Sol,Riviera del Sol-Miraflores (Distrito Mijas Costa. Mijas),99.0,89.0,3.0,2.0,3.0,,,,Sur,,,,1,0,,1,1,Comunitaria,,https://fotos.imghs.net/l/1005/792/1005_183454437792_1_2023032010031716874.jpg,36.49273,-4.70567
0,https://www.pisos.com/comprar/casa_adosada-el_paraiso_atalaya_benamara-31699013776_100500/,181.0,"Piso en venta en Avenida de los Reyes Católicos, 60",Capellanía-Retamar (Alhaurín de la Torre),61.0,53.0,2.0,2.0,1.0,Menos de 5 años,A estrenar,1,Oeste,,,,1,0,,1,0,,,https://fotos.imghs.net/l/510927/10877431180.510927/510927_10877431180_1_20211215140039809.jpg,36.494573,-4.74467
0,https://www.pisos.com/comprar/atico-torremolinos_centro-32562903990_100500/,498.0,Piso en venta en Calle del Cercado,Benahavís,198.0,,2.0,2.0,,,En buen estado,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/563/1005_96999563_17_2022032508034122418.jpg,36.749573,-4.066348
0,https://www.pisos.com/comprar/casa_adosada-torreblanca_del_sol-32538484619_525903/,875.0,"Chalet en venta en Calle de Dinamarca, 23",Torrequebrada (Distrito Benalmádena Costa. Benalmádena),,128.0,3.0,3.0,,,En buen estado,1,,,,,0,0,,1,1,Propia,,https://fotos.imghs.net/l/513519/30040071228.513519/513519_30040071228_15_20230201125315057.jpg,36.584908,-4.546834
0,https://www.pisos.com/comprar/piso-bellavista_el_morlaco29018-30837240078_525918/,296.0,Piso en venta en Camino del Pinillo,El Pinillo (Torremolinos),62.0,,1.0,1.0,,,En buen estado,1,A la montaña,,,Frío,1,1,Eléctrica,1,1,Comunitaria,,https://fotos.imghs.net/l/1018/821/1018_32759821_0_2022121218124601880.jpg,36.503679,-4.845408
0,https://www.pisos.com/comprar/piso-anoreta-30891031187_501286/,155.0,"Piso en venta en Camino de Suárez, cerca de Calle Ibrahín",Camino de Suárez (Distrito Bailén-Miraflores. Málaga Capital),60.0,45.0,2.0,1.0,1.0,Entre 10 y 20 años,Reformado,,Este,,Entre 40 y 60€,,1,0,,0,0,,,https://fotos.imghs.net/l/996965/26742804672.996965/996965_26742804672_7_20220801122632070.jpg,36.726692,-4.436476
0,https://www.pisos.com/comprar/apartamento-riviera_del_sol_miraflores-28388903763_106700/,,"Casa unifamiliar en venta en Avenida de Pernet, 1",El Paraíso-Atalaya-Benamara (Estepona),372.0,292.0,4.0,4.0,,Entre 30 y 50 años,En buen estado,2,Suroeste,,Propietario,,0,1,Sin especificar,1,1,Sin especificar,Unifamiliar,https://fotos.imghs.net/l/3373/59254481.337300/3373_59254481_21_20220526125921123.jpg,36.475808,-5.015937
0,https://www.pisos.com/comprar/chalet-montealto_monterrey_veracruz29639-30922916484_100500/,,Chalet en venta en Calle Granada,La Capellanía-El Higuerón (Benalmádena),537.0,500.0,3.0,4.0,,,En buen estado,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/487/1005_3639487_1_2022121609120415731.jpg,36.691878,-4.4505
0,https://www.pisos.com/comprar/chalet-benahavis_centro_urbano-28404963463_108700/,84.5,"Casa en venta en Calle de los Cantarranas, cerca de Calle Arroyo Hondo",Álora,125.0,125.0,4.0,1.0,,Más de 50 años,En buen estado,,Este,,,,0,0,,1,0,,,https://fotos.imghs.net/l/501286/21740490276.501286/501286_21740490276_2_20220308101653976.jpg,36.733107,-4.441034
