city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,latitude,longitude,geometry
1,https://www.pisos.com/alquilar/piso-chamartin_hispanoamerica28016-30896139773_996542/,2200.0,"Piso en alquiler en Calle de Serrano, cerca de Calle de Víctor Andrés Belaúnde",Hispanoamérica (Distrito Chamartín. Madrid Capital),81.0,80.0,2.0,1.0,4.0,Entre 30 y 50 años,Reformado,1,,,,Frío y calor,0,1,Gas natural,0,1,Comunitaria,,https://fotos.imghs.net/l/996542/30896139773.996542/996542_30896139773_2_20230127111652497.jpg,40.432669,-3.687272,POINT (-3.687272 40.432669)
1,https://www.pisos.com/alquilar/piso-recoletos28001-28351017545_500039/,14000.0,"Piso en alquiler en Calle de Serrano, cerca de Calle Jorge Juan",Recoletos (Distrito Salamanca. Madrid Capital),440.0,390.0,5.0,6.0,7.0,Más de 50 años,En buen estado,2,Este,,,Frío y calor,1,1,Central,1,0,,,https://fotos.imghs.net/l/500039/28351017545.500039/500039_28351017545_5_20221026130503125.jpg,40.432669,-3.687272,POINT (-3.687272 40.432669)
1,https://www.pisos.com/alquilar/piso-ventas28017-31687009682_101800/,830.0,"Piso en alquiler en Calle de Servando Batanero, cerca de Calle de los Hermanos Machado",Ventas (Distrito Ciudad Lineal. Madrid Capital),56.0,,1.0,1.0,,,En buen estado,,Sureste,,,,0,1,Eléctrica,0,0,,,https://fotos.imghs.net/l/1018/016/1018_33280016_2_2023021713025271227.jpg,,,POINT EMPTY
1,https://www.pisos.com/alquilar/piso-norte_universidad28932-32546193808_103800/,975.0,Piso en alquiler en Calle de Severo Ochoa,Norte-Universidad (Móstoles),100.0,,3.0,1.0,5.0,,En buen estado,,,,,,1,1,Calefacción individual,1,0,,,https://fotos.imghs.net/l/1038/769/1038_0998-769_1_2023031400040931250.jpg,40.336714,-3.867604,POINT (-3.867604 40.336714)
1,https://www.pisos.com/alquilar/piso-norte_universidad28932-32509013821_101000/,950.0,Piso en alquiler en Calle de Severo Ochoa,Norte-Universidad (Móstoles),92.0,,3.0,1.0,,,En buen estado,,Suroeste,,,,1,0,,1,0,,,https://fotos.imghs.net/l/1010/075/1010_211275_1_2023030816313531250.jpg,40.336714,-3.867604,POINT (-3.867604 40.336714)
1,https://www.pisos.com/alquilar/piso-mostoles_centro28931-29166918823_100500/,750.0,Piso en alquiler en Calle de Sevilla,Centro (Móstoles),58.0,,2.0,1.0,3.0,,En buen estado,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/020/1005_2001_20010012_20_1_2023021708022907331.jpg,40.433036,-3.60756,POINT (-3.60756 40.433036)
1,https://www.pisos.com/alquilar/piso-san_blas_amposta-30074344274_100500/,790.0,Piso en alquiler en Calle de Siderurgia,Amposta (Distrito San Blas. Madrid Capital),62.0,,2.0,1.0,1.0,,En buen estado,,,,,,0,0,,1,0,,,https://fotos.imghs.net/l/1005/993/1005_2001_20010001_993_1_2022120913125133411.jpeg,40.422278,-3.687616,POINT (-3.687616 40.422278)
1,https://www.pisos.com/alquilar/piso-alcorcon_casco_antiguo28923-31700222344_100500/,860.0,Piso en alquiler en Calle de Sierra de Picos de Europa,Casco Antiguo (Alcorcón),71.0,,3.0,1.0,2.0,,En buen estado,,,,,,1,0,,1,0,,,https://fotos.imghs.net/l/1005/025/1005_2001_20010002_25_1_2023020711020537372.jpeg,40.394349,-3.658604,POINT (-3.658604 40.394349)
1,https://www.pisos.com/alquilar/piso-numancia28038-32513360992_100500/,1050.0,Piso en alquiler en Calle de Sierra Elvira,Numancia (Distrito Puente de Vallecas. Madrid Capital),86.0,,3.0,1.0,8.0,,En buen estado,,,,,,1,0,,0,0,,,https://fotos.imghs.net/l/1005/172/1005_2001_20010001_1172_1_2023030111033396863.jpeg,40.504233,-3.669067,POINT (-3.669067 40.504233)
1,https://www.pisos.com/alquilar/piso-alcorcon_casco_antiguo28923-30040670320_100500/,800.0,Piso en alquiler en Calle de Sierra Peñalara,Casco Antiguo (Alcorcón),70.0,,3.0,1.0,3.0,,En buen estado,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/013/1005_2001_20010002_13_1_2023020109022916085.jpg,40.504233,-3.669067,POINT (-3.669067 40.504233)
1,https://www.pisos.com/alquilar/piso-zofio28026-31764546596_100500/,840.0,"Piso en alquiler en Calle de Silvio Abad, cerca de Avenida de Rafaela Ybarra",Zofío (Distrito Usera. Madrid Capital),59.0,,2.0,1.0,2.0,,En buen estado,,,,,,0,0,,1,0,,,https://fotos.imghs.net/l/1005/122/1005_2001_20010001_1122_1_2023021517024322240.jpeg,40.422278,-3.687616,POINT (-3.687616 40.422278)
1,https://www.pisos.com/alquilar/piso-almendrales28026-29230107571_100200/,800.0,Piso en alquiler en Calle de Socuéllamos,Almendrales (Distrito Usera. Madrid Capital),35.0,,1.0,1.0,2.0,,En buen estado,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1002/571/1002_528571_99_2023032511030846562.jpeg,40.422278,-3.687616,POINT (-3.687616 40.422278)
1,https://www.pisos.com/alquilar/piso-castillejos28020-32509546045_100500/,1500.0,Piso en alquiler en Calle de Sor Angela de la Cruz,Castillejos (Distrito Tetuán. Madrid Capital),90.0,70.0,2.0,1.0,,,En buen estado,,,,,,1,1,Central,0,1,,,https://fotos.imghs.net/l/1005/520/1005_100714520_1_2023031322034933235.jpg,40.458972,-3.692376,POINT (-3.692376 40.458972)
